StrikerName,TeamCode,TeamName,Nationality,Matches,Innings,TotalRuns,HighestScore,BattingAverage,StrikeRate,Centuries,FiftyPlusRuns,Fours,Sixes
Jonny Bairstow,MI,Mumbai Indians,Overseas,2,2,85,47,42.50,184.78,0,0,7,5
Marco Jansen,PBKS,Punjab Kings,Overseas,14,8,75,34*,18.75,119.04,0,0,3,4
Rahmanullah Gurbaz,KKR,Kolkata Knight Riders,Overseas,5,5,74,35,18.50,139.62,0,0,10,3
Shaik Rasheed,CSK,Chennai Super Kings,Indian,5,5,71,27,14.20,112.69,0,0,9,2
Romario Shepherd,RCB,Royal Challengers Bengaluru,Overseas,8,3,70,53*,35.00,291.66,0,1,5,7
Urvil Patel,CSK,Chennai Super Kings,Indian,3,3,68,37,22.67,212.5,0,0,5,6
Jacob Bethell,RCB,Royal Challengers Bengaluru,Overseas,2,2,67,55,33.50,171.79,0,1,9,3
Jofra Archer,RR,Rajasthan Royals,Overseas,12,7,63,30,10.50,126.0,0,0,3,4
Abhinav Manohar,SRH,Sunrisers Hyderabad,Indian,8,5,61,43,12.20,100.0,0,0,2,4
Azmatullah Omarzai,PBKS,Punjab Kings,Overseas,9,5,57,21*,14.25,139.02,0,0,6,3
Harshit Rana,KKR,Kolkata Knight Riders,Indian,13,7,57,34,14.25,107.54,0,0,5,3
Jake Fraser - McGurk,DC,Delhi Capitals,Overseas,6,6,55,38,9.17,105.76,0,0,7,2
Rahul Tripathi,CSK,Chennai Super Kings,Indian,5,5,55,23,11.00,96.49,0,0,6,1
Glenn Maxwell,PBKS,Punjab Kings,Overseas,7,6,48,30,8.00,97.95,0,0,5,1
Corbin Bosch,MI,Mumbai Indians,Overseas,2,2,47,27,23.50,146.87,0,0,3,3
Ramandeep Singh,KKR,Kolkata Knight Riders,Indian,11,7,47,22,9.40,134.28,0,0,1,4
Rashid Khan,GT,Gujarat Titans,Overseas,15,8,40,12,8.00,142.85,0,0,2,3
Mitchell Santner,MI,Mumbai Indians,Overseas,13,8,40,18*,20.00,121.21,0,0,2,3
Deepak Chahar,MI,Mumbai Indians,Indian,14,4,37,28*,37.00,148.0,0,0,3,2
Ravichandran Ashwin,CSK,Chennai Super Kings,Indian,9,4,33,13,8.25,110.0,0,0,3,1
Deepak Hooda,CSK,Chennai Super Kings,Indian,7,5,31,22,6.20,75.6,0,0,2,1
Mohd Arshad Khan,GT,Gujarat Titans,Indian,9,5,23,20,11.50,121.05,0,0,0,3
Sediqullah Atal,DC,Delhi Capitals,Overseas,1,1,22,22,22.00,137.5,0,0,0,2
Avesh Khan,LSG,Lucknow Super Giants,Indian,13,4,21,19*,21.00,175.0,0,0,3,1
Harshal Patel,SRH,Sunrisers Hyderabad,Indian,13,4,21,12*,10.50,80.76,0,0,0,0
Kusal Mendis,GT,Gujarat Titans,Indian,1,1,20,20,20.00,200.0,0,0,1,2
Shardul Thakur,LSG,Lucknow Super Giants,Indian,10,5,18,6,6.00,150.0,0,0,3,0
Kuldeep Yadav,DC,Delhi Capitals,Indian,14,5,18,7,6.00,112.5,0,0,2,0
Gerald Coetzee,GT,Gujarat Titans,Overseas,4,2,17,12,8.50,154.54,0,0,2,1
Jamie Overton,CSK,Chennai Super Kings,Overseas,3,2,15,11*,-,214.28,0,0,1,1
Anshul Kamboj,CSK,Chennai Super Kings,Indian,8,5,14,5*,7.00,116.66,0,0,2,0
Matthew Breetzke,LSG,Lucknow Super Giants,Overseas,1,1,14,14,14.00,116.66,0,0,1,1
Bhuvneshwar Kumar,RCB,Royal Challengers Bengaluru,Indian,14,6,14,8,4.67,56.0,0,0,1,0
Atharva Taide,SRH,Sunrisers Hyderabad,Indian,1,1,13,13,13.00,144.44,0,0,3,0
Ravi Bishnoi,LSG,Lucknow Super Giants,Indian,11,3,13,13,6.50,81.25,0,0,0,2
Harpreet Brar,PBKS,Punjab Kings,Indian,8,2,11,7*,11.00,84.61,0,0,0,1
Xavier Bartlett,PBKS,Punjab Kings,Overseas,4,1,11,11,11.00,73.33,0,0,1,0
Mohammad Shami,SRH,Sunrisers Hyderabad,Indian,9,4,10,6*,10.00,100.0,0,0,1,0
Dushmantha Chameera,DC,Delhi Capitals,Overseas,6,3,10,8*,-,71.42,0,0,0,0
Maheesh Theekshana,RR,Rajasthan Royals,Overseas,11,4,10,5,5.00,37.03,0,0,0,0
Kagiso Rabada,GT,Gujarat Titans,Overseas,4,2,9,7*,9.00,112.5,0,0,0,1
Shahbaz Ahmed,LSG,Lucknow Super Giants,Indian,3,1,9,9,9.00,112.5,0,0,1,0
Wiaan Mulder,SRH,Sunrisers Hyderabad,Overseas,1,1,9,9,9.00,81.81,0,0,1,0
Wanindu Hasaranga,RR,Rajasthan Royals,Overseas,11,5,9,4,1.80,60.0,0,0,0,0
Kwena Maphaka,RR,Rajasthan Royals,Overseas,2,1,8,8*,-,400.0,0,0,2,0
Raj Angad Bawa,MI,Mumbai Indians,Indian,3,1,8,8*,-,200.0,0,0,0,0
Tushar Deshpande,RR,Rajasthan Royals,Indian,10,4,7,3,7.00,87.5,0,0,0,0
Suryansh Shedge,PBKS,Punjab Kings,Indian,5,3,7,4,2.33,63.63,0,0,0,0
Noor Ahmad,CSK,Chennai Super Kings,Overseas,14,6,7,2*,1.75,41.17,0,0,0,0
Akash Deep,LSG,Lucknow Super Giants,Indian,6,2,6,6*,6.00,300.0,0,0,0,1
Sandeep Sharma,RR,Rajasthan Royals,Indian,10,1,6,6*,-,120.0,0,0,0,0
Mitchell Starc,DC,Delhi Capitals,Overseas,11,6,6,2*,3.00,60.0,0,0,0,0
Robin Minz,MI,Mumbai Indians,Indian,2,2,6,3,3.00,40.0,0,0,0,0
Rovman Powell,KKR,Kolkata Knight Riders,Overseas,2,1,5,5,5.00,100.0,0,0,1,0
Sai Kishore,GT,Gujarat Titans,Indian,15,3,5,3,1.67,50.0,0,0,0,0
Prince Yadav,LSG,Lucknow Super Giants,Indian,6,2,5,4*,-,50.0,0,0,0,0
Moeen Ali,KKR,Kolkata Knight Riders,Overseas,6,2,5,5,2.50,35.71,0,0,0,0
Lockie Ferguson,PBKS,Punjab Kings,Overseas,4,1,4,4*,-,400.0,0,0,1,0
Yash Dayal,RCB,Royal Challengers Bengaluru,Indian,15,3,4,3,2.00,50.0,0,0,0,0
Akash Madhwal,RR,Rajasthan Royals,Indian,4,1,4,4*,-,44.44,0,0,0,0
Madhav Tiwari,DC,Delhi Capitals,Indian,1,1,3,3,3.00,75.0,0,0,0,0
Mohammed Siraj,GT,Gujarat Titans,Indian,15,1,3,3*,-,75.0,0,0,0,0
Kumar Kartikeya Singh,RR,Rajasthan Royals,Indian,4,2,3,2,1.50,60.0,0,0,0,0
Simarjeet Singh,SRH,Sunrisers Hyderabad,Indian,4,3,3,3*,1.50,42.85,0,0,0,0
Fazalhaq Farooqi,RR,Rajasthan Royals,Overseas,5,1,2,2*,-,100.0,0,0,0,0
Trent Boult,MI,Mumbai Indians,Overseas,16,2,2,1*,2.00,66.66,0,0,0,0
Spencer Johnson,KKR,Kolkata Knight Riders,Overseas,4,2,2,1*,-,50.0,0,0,0,0
Arshdeep Singh,PBKS,Punjab Kings,Indian,17,2,2,1*,2.00,33.33,0,0,0,0
Varun Chakaravarthy,KKR,Kolkata Knight Riders,Indian,13,1,1,1*,-,100.0,0,0,0,0
V Satyanarayana Penmetsa,MI,Mumbai Indians,Indian,2,1,1,1*,-,100.0,0,0,0,0
Karn Sharma,MI,Mumbai Indians,Indian,6,1,1,1*,-,100.0,0,0,0,0
Khaleel Ahmed,CSK,Chennai Super Kings,Indian,14,2,1,1*,-,50.0,0,0,0,0
Mohit Sharma,DC,Delhi Capitals,Indian,8,2,1,1*,1.00,33.33,0,0,0,0
Donovan Ferreira,DC,Delhi Capitals,Overseas,1,1,1,1,1.00,33.33,0,0,0,0
Digvesh Singh,LSG,Lucknow Super Giants,Indian,13,2,1,1,1.00,33.33,0,0,0,0
Manoj Bhandage,RCB,Royal Challengers Bengaluru,Indian,1,1,1,1,1.00,25.0,0,0,0,0
